t,intr_x,intr_y,intr_z,def0_x,def0_y,def0_z,def1_x,def1_y,def1_z,event
8.200000000000001,-809.195556640625,-1.2537305638105067e-09,-352.7679138183594,-26.8828125,-4.507124423980713,-3.0014140605926514,-26.962787628173828,4.251757621765137,-2.961500883102417,
8.3,-829.2272338867188,-6.705588306843424e-10,-361.77337646484375,-27.21904182434082,-4.50678014755249,-3.001096725463867,-27.35210609436035,4.249410152435303,-2.961143732070923,
8.4,-838.9275512695312,-1.7937441462723136e-11,-365.8885803222656,-27.60836410522461,-4.506381511688232,-3.0007293224334717,-27.688339233398438,4.247408390045166,-2.9608354568481445,
8.5,-838.371826171875,6.16621476101642e-10,-365.20599365234375,-27.97998809814453,-4.506000995635986,-3.0003881454467773,-28.05996322631836,4.245223045349121,-2.9604949951171875,
8.6,-848.1290283203125,1.2593306397690185e-09,-369.39556884765625,-28.31621742248535,-4.505656719207764,-3.000079870223999,-28.39619255065918,4.243272304534912,-2.9601871967315674,
8.700000000000001,-857.8861694335938,1.9247179405823545e-09,-373.5854187011719,-28.687843322753906,-4.50528621673584,-2.999739408493042,-28.7678165435791,4.241140842437744,-2.9598467350006104,
8.8,-867.6270141601562,2.6290500887427015e-09,-377.7569580078125,-29.05061912536621,-4.504934310913086,-2.9994072914123535,-29.130592346191406,4.239083766937256,-2.959514617919922,
8.9,-887.6365356445312,3.3900178220136468e-09,-386.74505615234375,-29.404544830322266,-4.50459098815918,-2.999082565307617,-29.484519958496094,4.2371015548706055,-2.9591898918151855,
9.0,-897.40576171875,4.085360938432814e-09,-390.9537353515625,-29.7319278717041,-4.504273414611816,-2.9987828731536865,-29.81190299987793,4.235287666320801,-2.9588897228240967,
9.1,-907.128173828125,4.849332491119185e-09,-395.107421875,-30.094703674316406,-4.5039215087890625,-2.99845027923584,-30.174678802490234,4.233300685882568,-2.958557605743408,
9.200000000000001,-916.8350830078125,5.640869993328579e-09,-399.2425842285156,-30.46632957458496,-4.503561019897461,-2.998110294342041,-30.546302795410156,4.231289386749268,-2.958217144012451,
9.3,-916.2551879882812,6.4167640090317946e-09,-398.5427551269531,-30.8468017578125,-4.503191947937012,-2.9977617263793945,-30.926776885986328,4.229256629943848,-2.957869291305542,
9.4,-936.2752075195312,7.194531637111368e-09,-407.5501403808594,-31.18303108215332,-4.502879619598389,-2.997453451156616,-31.26300621032715,4.227483749389648,-2.9575603008270264,
9.5,-935.6792602539062,7.991157957576434e-09,-406.83221435546875,-31.57235336303711,-4.502522945404053,-2.9970970153808594,-31.652328491210938,4.225455284118652,-2.9572038650512695,
9.600000000000001,-955.6970825195312,8.762041758814121e-09,-415.83984375,-31.917430877685547,-4.502206802368164,-2.9967808723449707,-32.04165267944336,4.223451137542725,-2.9568474292755127,
9.700000000000001,-965.4147338867188,9.523541066869257e-09,-419.9941711425781,-32.289119720458984,-4.501866340637207,-2.9964404106140137,-32.41335678100586,4.221560478210449,-2.9565069675445557,
9.8,-975.0848388671875,1.0328949251459107e-08,-424.0932312011719,-32.678524017333984,-4.501509666442871,-2.9960832595825195,-32.758514404296875,4.219824314117432,-2.956190824508667,
9.9,-974.5157470703125,1.1037763592014471e-08,-423.4126892089844,-33.041378021240234,-4.5011773109436035,-2.99575138092041,-33.12136459350586,4.218019485473633,-2.9558587074279785,
10.0,-994.4848022460938,1.1797548715719586e-08,-432.36541748046875,-33.404232025146484,-4.500844955444336,-2.9954192638397217,-33.484222412109375,4.216235160827637,-2.955526113510132,
10.100000000000001,-993.8834838867188,1.2490080081306587e-08,-431.648193359375,-33.793636322021484,-4.500494480133057,-2.9950621128082275,-33.873626708984375,4.214341163635254,-2.9551689624786377,
10.200000000000001,-1003.6893310546875,1.303256080831261e-08,-435.9135437011719,-34.112239837646484,-4.500219821929932,-2.9947705268859863,-34.192230224609375,4.212808132171631,-2.9548771381378174,
10.3,-1023.7796630859375,1.356912360250817e-08,-445.0142517089844,-34.448543548583984,-4.499929904937744,-2.994462251663208,-34.528533935546875,4.2112040519714355,-2.9545695781707764,
10.4,-1023.1774291992188,1.4167850892476963e-08,-444.2976989746094,-34.793697357177734,-4.499632358551025,-2.9941461086273193,-34.87368392944336,4.2095723152160645,-2.9542534351348877,
10.5,-1032.85888671875,1.4734866660148782e-08,-448.4159240722656,-35.165401458740234,-4.499311923980713,-2.993805408477783,-35.24538803100586,4.207833290100098,-2.9539129734039307,
10.600000000000001,-1042.538818359375,1.5250215312789805e-08,-452.5343017578125,-35.537105560302734,-4.4989914894104,-2.9934654235839844,-35.61709213256836,4.206111907958984,-2.9535722732543945,
10.700000000000001,-1062.5498046875,1.568825602760171e-08,-461.54302978515625,-35.882259368896484,-4.498693943023682,-2.9931492805480957,-36.00649642944336,4.204328536987305,-2.9532158374786377,
10.8,-1062.0072021484375,1.6043950168409538e-08,-460.9002380371094,-36.236263275146484,-4.498388767242432,-2.9928252696990967,-36.316253662109375,4.202924728393555,-2.952932119369507,
10.9,-1071.6561279296875,1.6417885717601166e-08,-464.982421875,-36.607967376708984,-4.498068332672119,-2.9924845695495605,-36.687957763671875,4.201253890991211,-2.9525914192199707,
11.0,-1081.320556640625,1.6718317397135252e-08,-469.0827331542969,-36.970821380615234,-4.497755527496338,-2.992151975631714,-37.05080795288086,4.1996378898620605,-2.952258825302124,
11.100000000000001,-1091.04638671875,1.6924770918080867e-08,-473.2568359375,-37.342525482177734,-4.497445583343506,-2.991811990737915,-37.42251205444336,4.197997570037842,-2.951918840408325,
11.200000000000001,-1111.0706787109375,1.707012664553531e-08,-482.2843322753906,-37.68767547607422,-4.497166633605957,-2.9914958477020264,-37.767669677734375,4.19649076461792,-2.9516026973724365,
11.3,-1120.7926025390625,1.7155970866156167e-08,-486.45855712890625,-38.04167938232422,-4.496880531311035,-2.99117112159729,-38.157073974609375,4.194807529449463,-2.9512455463409424,
11.4,-1130.5926513671875,1.717936015666055e-08,-490.72467041015625,-38.36028289794922,-4.4966230392456055,-2.990879535675049,-38.475677490234375,4.193442344665527,-2.950953960418701,
11.5,-1129.9832763671875,1.7145607600355106e-08,-490.00897216796875,-38.74083709716797,-4.4963154792785645,-2.9905309677124023,-38.82082748413086,4.191975116729736,-2.9506378173828125,
11.600000000000001,-1149.9427490234375,1.702960972238543e-08,-498.96307373046875,-39.11254119873047,-4.4960150718688965,-2.990190267562866,-39.19253158569336,4.190412998199463,-2.9502971172332764,
